kode_customers;nama;alamat;telepon;email
CUST001;Cihuyy;"Jl. Hunter Coy";927374747;tes@gmail.com
CUST002;David;"Jl. Hunter Coy";276346473;tes2@gmail.com
CUST003;"Andi Setiawan";"Jl. Merdeka No. 10";081234567890;andi.setiawan@email.com
CUST004;"Siti Rohmah";"Jl. Kenanga No. 5";082198765432;siti.rohmah@email.com
CUST005;"Budi Santoso";"Jl. Melati No. 12";081345678901;budi.santoso@email.com
CUST006;"Agus Prasetyo";"Jl. Mawar No. 8";081298765432;agus.prasetyo@email.com
CUST007;"Rina Kurniawati";"Jl. Cempaka No. 3";082312345678;rina.kurnia@email.com
CUST008;"Desi Anggraini";"Jl. Dahlia No. 7";082176543210;desi.anggraini@email.com
CUST009;"Tono Wahyudi";"Jl. Flamboyan No. 15";081223344556;tono.wahyudi@email.com
CUST010;"Lisa Marlina";"Jl. Anggrek No. 4";081299887766;lisa.marlina@email.com
