kode_customers;nama;alamat;telepon;email
CUST001;Customer_1;"Alamat Customer 1";089757665221;customer_1@example.com
CUST002;Customer_2;"Alamat Customer 2";080563871428;customer_2@example.com
CUST003;Customer_3;"Alamat Customer 3";080156989059;customer_3@example.com
CUST004;"Siti Rohmah";"Jl. Kenanga No. 5";82198765432;siti.rohmah@email.com
CUST005;"Budi Santoso";"Jl. Melati No. 12";81345678901;budi.santoso@email.com
CUST006;"Agus Prasetyo";"Jl. Mawar No. 8";81298765432;agus.prasetyo@email.com
CUST007;"Rina Kurniawati";"Jl. Cempaka No. 3";82312345678;rina.kurnia@email.com
CUST008;"Desi Anggraini";"Jl. Dahlia No. 7";82176543210;desi.anggraini@email.com
CUST009;"Tono Wahyudi";"Jl. Flamboyan No. 15";81223344556;tono.wahyudi@email.com
CUST010;"Lisa Marlina";"Jl. Anggrek No. 4";81299887766;lisa.marlina@email.com
CUST011;Customer_11;"Alamat Customer 11";080667136239;customer_11@example.com
CUST012;Customer_12;"Alamat Customer 12";083378543064;customer_12@example.com
CUST013;Customer_13;"Alamat Customer 13";082261318959;customer_13@example.com
CUST014;Customer_14;"Alamat Customer 14";084545807946;customer_14@example.com
CUST015;Customer_15;"Alamat Customer 15";082948473983;customer_15@example.com
CUST016;Customer_16;"Alamat Customer 16";082543152798;customer_16@example.com
CUST017;Customer_17;"Alamat Customer 17";087173248307;customer_17@example.com
CUST018;Customer_18;"Alamat Customer 18";080623539800;customer_18@example.com
CUST019;Customer_19;"Alamat Customer 19";084758729536;customer_19@example.com
CUST020;Customer_20;"Alamat Customer 20";086301250412;customer_20@example.com
CUST021;Customer_21;"Alamat Customer 21";086693110412;customer_21@example.com
CUST022;Customer_22;"Alamat Customer 22";086266486601;customer_22@example.com
CUST023;Customer_23;"Alamat Customer 23";085444261119;customer_23@example.com
CUST024;Customer_24;"Alamat Customer 24";083272972140;customer_24@example.com
CUST025;Customer_25;"Alamat Customer 25";083656335397;customer_25@example.com
CUST026;Customer_26;"Alamat Customer 26";086822320097;customer_26@example.com
CUST027;Customer_27;"Alamat Customer 27";081374244112;customer_27@example.com
CUST028;Customer_28;"Alamat Customer 28";089334677617;customer_28@example.com
CUST029;Customer_29;"Alamat Customer 29";080157441230;customer_29@example.com
CUST030;Customer_30;"Alamat Customer 30";087287724693;customer_30@example.com
CUST031;Customer_31;"Alamat Customer 31";080818933194;customer_31@example.com
CUST032;Customer_32;"Alamat Customer 32";083051146959;customer_32@example.com
CUST033;Customer_33;"Alamat Customer 33";087853179943;customer_33@example.com
CUST034;Customer_34;"Alamat Customer 34";084887039094;customer_34@example.com
CUST035;Customer_35;"Alamat Customer 35";086284482948;customer_35@example.com
CUST036;Customer_36;"Alamat Customer 36";087851545570;customer_36@example.com
CUST037;Customer_37;"Alamat Customer 37";080367699250;customer_37@example.com
CUST038;Customer_38;"Alamat Customer 38";084467577324;customer_38@example.com
CUST039;Customer_39;"Alamat Customer 39";087629196354;customer_39@example.com
CUST040;Customer_40;"Alamat Customer 40";085456501809;customer_40@example.com
CUST041;Customer_41;"Alamat Customer 41";081670808776;customer_41@example.com
CUST042;Customer_42;"Alamat Customer 42";081424803681;customer_42@example.com
CUST043;Customer_43;"Alamat Customer 43";085895008237;customer_43@example.com
CUST044;Customer_44;"Alamat Customer 44";082586719960;customer_44@example.com
CUST045;Customer_45;"Alamat Customer 45";082001793002;customer_45@example.com
CUST046;Customer_46;"Alamat Customer 46";088542683067;customer_46@example.com
CUST047;Customer_47;"Alamat Customer 47";083066944319;customer_47@example.com
CUST048;Customer_48;"Alamat Customer 48";084097117112;customer_48@example.com
CUST049;Customer_49;"Alamat Customer 49";080542205898;customer_49@example.com
CUST050;Customer_50;"Alamat Customer 50";084849292052;customer_50@example.com
CUST051;Customer_51;"Alamat Customer 51";086836994928;customer_51@example.com
CUST052;Customer_52;"Alamat Customer 52";086879228381;customer_52@example.com
CUST053;Customer_53;"Alamat Customer 53";085247703280;customer_53@example.com
CUST054;Customer_54;"Alamat Customer 54";080275254460;customer_54@example.com
CUST055;Customer_55;"Alamat Customer 55";083136889248;customer_55@example.com
CUST056;Customer_56;"Alamat Customer 56";081914667515;customer_56@example.com
CUST057;Customer_57;"Alamat Customer 57";085340592552;customer_57@example.com
CUST058;Customer_58;"Alamat Customer 58";082146384704;customer_58@example.com
CUST059;Customer_59;"Alamat Customer 59";080360278174;customer_59@example.com
CUST060;Customer_60;"Alamat Customer 60";084314696271;customer_60@example.com
CUST061;Customer_61;"Alamat Customer 61";083241341342;customer_61@example.com
CUST062;Customer_62;"Alamat Customer 62";087381264317;customer_62@example.com
CUST063;Customer_63;"Alamat Customer 63";081351157708;customer_63@example.com
CUST064;Customer_64;"Alamat Customer 64";086002413515;customer_64@example.com
CUST065;Customer_65;"Alamat Customer 65";080493254480;customer_65@example.com
CUST066;Customer_66;"Alamat Customer 66";089105759371;customer_66@example.com
CUST067;Customer_67;"Alamat Customer 67";086595086121;customer_67@example.com
CUST068;Customer_68;"Alamat Customer 68";084930092757;customer_68@example.com
CUST069;Customer_69;"Alamat Customer 69";080992965923;customer_69@example.com
CUST070;Customer_70;"Alamat Customer 70";083031228746;customer_70@example.com
CUST071;Customer_71;"Alamat Customer 71";087780540536;customer_71@example.com
CUST072;Customer_72;"Alamat Customer 72";082230311009;customer_72@example.com
CUST073;Customer_73;"Alamat Customer 73";087489677422;customer_73@example.com
CUST074;Customer_74;"Alamat Customer 74";087074706754;customer_74@example.com
CUST075;Customer_75;"Alamat Customer 75";080247437461;customer_75@example.com
CUST076;Customer_76;"Alamat Customer 76";083367873830;customer_76@example.com
CUST077;Customer_77;"Alamat Customer 77";083673695787;customer_77@example.com
CUST078;Customer_78;"Alamat Customer 78";087298526420;customer_78@example.com
CUST079;Customer_79;"Alamat Customer 79";082887512495;customer_79@example.com
CUST080;Customer_80;"Alamat Customer 80";082145532063;customer_80@example.com
CUST081;Customer_81;"Alamat Customer 81";086561305784;customer_81@example.com
CUST082;Customer_82;"Alamat Customer 82";081504277120;customer_82@example.com
CUST083;Customer_83;"Alamat Customer 83";080895640612;customer_83@example.com
CUST084;Customer_84;"Alamat Customer 84";080526365883;customer_84@example.com
CUST085;Customer_85;"Alamat Customer 85";082125123407;customer_85@example.com
CUST086;Customer_86;"Alamat Customer 86";087993137778;customer_86@example.com
CUST087;Customer_87;"Alamat Customer 87";085342736581;customer_87@example.com
CUST088;Customer_88;"Alamat Customer 88";087128423726;customer_88@example.com
CUST089;Customer_89;"Alamat Customer 89";082441342413;customer_89@example.com
CUST090;Customer_90;"Alamat Customer 90";081875214957;customer_90@example.com
CUST091;Customer_91;"Alamat Customer 91";084014728796;customer_91@example.com
CUST092;Customer_92;"Alamat Customer 92";082534610235;customer_92@example.com
CUST093;Customer_93;"Alamat Customer 93";088718697324;customer_93@example.com
CUST094;Customer_94;"Alamat Customer 94";082994806046;customer_94@example.com
CUST095;Customer_95;"Alamat Customer 95";087741593597;customer_95@example.com
CUST096;Customer_96;"Alamat Customer 96";088167558879;customer_96@example.com
CUST097;Customer_97;"Alamat Customer 97";080057358159;customer_97@example.com
CUST098;Customer_98;"Alamat Customer 98";081829586673;customer_98@example.com
CUST099;Customer_99;"Alamat Customer 99";084424736997;customer_99@example.com
CUST100;Customer_100;"Alamat Customer 100";082486192719;customer_100@example.com
